FILENAME,IDENTITY
Sulphone diethyl Methene-5.png,sulphone diethyl methene
Suxamethonium-1.png,suxamethonium
Suxamethonium-2.png,suxamethonium
Suxamethonium-3.png,suxamethonium
Suxamethonium-4.png,suxamethonium
Suxamethonium-5.png,suxamethonium
Talbutamide-1.png,talbutamide
Talbutamide-2.png,talbutamide
Talbutamide-4.png,talbutamide
Talbutamide-5.png,talbutamide
Tetracycline and its Derivatives-1.png,tetracycline and its derivatives
Tetracycline and its Derivatives-2.png,tetracycline and its derivatives
Tetracycline and its Derivatives-3.png,tetracycline and its derivatives
Tetracycline and its Derivatives-5.png,tetracycline and its derivatives
Thalium-1.png,thalium
Thalium-2.png,thalium
Thalium-3.png,thalium
Thalium-4.png,thalium
Thalium-5.png,thalium
Theo Propazet-1.png,theo propazet
Theo Propazet-2.png,theo propazet
Theo Propazet-4.png,theo propazet
Theo Propazet-5.png,theo propazet
Theopental Sodium-1.png,theopental sodium
Theopental Sodium-2.png,theopental sodium
Theopental Sodium-3.png,theopental sodium
Theopental Sodium-5.png,theopental sodium
Thiacetazone-1.png,thiacetazone
Thiacetazone-2.png,thiacetazone
Thiacetazone-4.png,thiacetazone
Thiobendazole-1.png,thiobendazole
Thiobendazole-2.png,thiobendazole
Thiobendazole-3.png,thiobendazole
Toxin-1.png,toxin
Toxin-2.png,toxin
Toxin-3.png,toxin
Toxin-4.png,toxin
Toxin-5.png,toxin
Triamipramine-1.png,triamipramine
Triamipramine-2.png,triamipramine
Triamipramine-3.png,triamipramine
Triamipramine-4.png,triamipramine
Triamipramine-5.png,triamipramine
Triamterene-1.png,triamterene
Triamterene-2.png,triamterene
Triamterene-3.png,triamterene
Triamterene-4.png,triamterene
Trianyle Cipromine-1.png,trianyle cipromine
Trianyle Cipromine-2.png,trianyle cipromine
Trianyle Cipromine-3.png,trianyle cipromine
Trianyle Cipromine-4.png,trianyle cipromine
Trianyle Cipromine-5.png,trianyle cipromine
Triazolam-1.png,triazolam
Triazolam-2.png,triazolam
Triazolam-4.png,triazolam
Triazolam-5.png,triazolam
Triazolam.png,triazolam
Tribromethanol-2.png,tribromethanol
Tribromethanol-3.png,tribromethanol
Tribromethanol-5.png,tribromethanol
Triethanolamine-1.png,triethanolamine
Triethanolamine-2.png,triethanolamine
Triethanolamine-3.png,triethanolamine
Triethanolamine-4.png,triethanolamine
Triethanolamine-5.png,triethanolamine
Triethinyl Thayo phosphoramide-2.png,triethinyl thayo phosphoramide
Triethinyl Thayo phosphoramide-3.png,triethinyl thayo phosphoramide
Triethinyl Thayo phosphoramide-5.png,triethinyl thayo phosphoramide
Triflupromazine-1.png,triflupromazine
Triflupromazine-2.png,triflupromazine
Triflupromazine-3.png,triflupromazine
Triflupromazine-5.png,triflupromazine
Trihexyphenidyl-1.png,trihexyphenidyl
Trihexyphenidyl-3.png,trihexyphenidyl
Trihexyphenidyl-4.png,trihexyphenidyl
Trimeperidine-1.png,trimeperidine
Trimeperidine-2.png,trimeperidine
Trimeperidine-3.png,trimeperidine
Trimeperidine-4.png,trimeperidine
Trimeperidine-5.png,trimeperidine
Tropa cocane-3.png,tropa cocane
Tropa cocane-4.png,tropa cocane
Tropa cocane-5.png,tropa cocane
Troxidone-1.png,troxidone
Troxidone-2.png,troxidone
Troxidone-3.png,troxidone
Troxidone-4.png,troxidone
Troxidone-5.png,troxidone
Tuberculin-1.png,tuberculin
Tuberculin-2.png,tuberculin
Tuberculin-3.png,tuberculin
Vaso precin-1.png,vaso precin
Vaso precin-2.png,vaso precin
Vaso precin-3.png,vaso precin
Vaso precin-4.png,vaso precin
Vaso precin-5.png,vaso precin
Verapamil Injection-1.png,verapamil injection
Verapamil Injection-2.png,verapamil injection
Verapamil Injection-3.png,verapamil injection
Verapamil Injection-4.png,verapamil injection
Veratram Alcolide-3.png,veratram alcolide
Veratram Alcolide-5.png,veratram alcolide
Vinblastine-1.png,vinblastine
Vinblastine-2.png,vinblastine
Vinblastine-3.png,vinblastine
Vinblastine-4.png,vinblastine
Vinblastine-5.png,vinblastine
Vincristine-1.png,vincristine
Vincristine-3.png,vincristine
Vincristine-4.png,vincristine
Vincristine-5.png,vincristine
Viomycin-1.png,viomycin
Viomycin-2.png,viomycin
Viomycin-3.png,viomycin
Viomycin-4.png,viomycin
Viomycin-5.png,viomycin
Vitamin D. as Single preparation-1.png,vitamin d. as single preparation
Vitamin D. as Single preparation-2.png,vitamin d. as single preparation
Vitamin D. as Single preparation-3.png,vitamin d. as single preparation
Vitamin D. as Single preparation-4.png,vitamin d. as single preparation
Wacitracin-1.png,wacitracin
Wacitracin-2.png,wacitracin
Wacitracin-3.png,wacitracin
Wacitracin-4.png,wacitracin
Wacitracin-5.png,wacitracin
Warfarin-3.png,warfarin
Warfarin-4.png,warfarin
Yohimba Alcolide-1.png,yohimba alcolide
Yohimba Alcolide-3.png,yohimba alcolide
Yohimba Alcolide-4.png,yohimba alcolide
Yohimba Alcolide-5.png,yohimba alcolide
Zinc and it’s compound-1.png,zinc and it's compound
Zinc and it’s compound-2.png,zinc and it's compound
Zinc and it’s compound-3.png,zinc and it's compound
Zinc and it’s compound-4.png,zinc and it's compound
Zinc and it’s compound-5.png,zinc and it's compound
Zolpidem-1.png,zolpidem
Zolpidem-2.png,zolpidem
Zolpidem-3.png,zolpidem
Zolpidem-4.png,zolpidem
Zolpidem-5.png,zolpidem
Zolpidem.png,zolpidem
